"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
-0.4264722168445587,0.2504099011421204,-0.1325153559446335,1.0,0.0,30042.0,0.512,458265652.0
-5.872742652893066,3.449652433395386,0.1188857927918434,14.0,1.0,30043.0,6.812,458265654.0
-0.6082056760787964,0.3574031293392181,-0.1628645658493042,2.0,2.0,30044.0,0.724,458265657.0
-5.908035278320312,3.471770286560059,0.3591293394565582,3.0,3.0,30044.0,6.862,458265659.0
-0.8479255437850952,0.49847012758255,-0.1911906152963638,3.0,4.0,30045.0,1.002,458265661.0
-1.5220947265625,0.8955091834068298,-0.2797048091888428,4.0,6.0,30047.0,1.788,458265666.0
-5.920957565307617,3.484927177429199,0.8435795903205872,10.0,7.0,30048.0,6.922,458265668.0
-5.626128196716309,3.312720060348511,-0.8016565442085266,11.0,8.0,30049.0,6.578,458265670.0
-34.39840316772461,20.25412178039551,6.322455406188965,6.0,9.0,30049.0,40.416,458265673.0
-5.797298431396484,3.414869785308838,-0.5886498689651489,6.0,10.0,30050.0,6.754,458265675.0
-34.64373016357422,20.41486358642578,7.816299915313721,5.0,11.0,30051.0,40.964,458265677.0
-17.39812850952148,10.25646209716797,-1.058442354202271,1.0,12.0,30052.0,20.224,458265680.0
-34.83878707885742,20.54619216918945,9.33771800994873,4.0,13.0,30053.0,41.51,458265682.0
-6.186454296112061,3.649920225143433,-0.1253780871629715,17.0,14.0,30054.0,7.184,458265684.0
-35.09901809692383,20.70792007446289,10.91957569122314,3.0,15.0,30054.0,42.19,458265687.0
-0.4322454631328583,0.2558329403400421,-0.134585902094841,1.0,0.0,30062.0,0.52,458265707.0
-5.848620891571045,3.46299934387207,0.1186414584517479,25.0,1.0,30063.0,6.798,458265710.0
-0.5700676441192627,0.337674468755722,-0.1529667228460312,2.0,2.0,30064.0,0.68,458265712.0
-5.890116214752197,3.490346431732178,0.3588153123855591,5.0,3.0,30065.0,6.856,458265714.0
-0.8428024053573608,0.4994251728057861,-0.190427377820015,3.0,4.0,30065.0,0.998,458265717.0
-5.933418750762939,3.517405986785889,0.6034663915634155,4.0,5.0,30066.0,6.924,458265719.0
-1.559737086296082,0.9249998331069946,-0.2872136831283569,4.0,6.0,30067.0,1.836,458265721.0
-5.920707702636719,3.512664079666138,0.8452857732772827,15.0,7.0,30068.0,6.936,458265723.0
-5.641843318939209,3.348549604415894,-0.8055563569068909,11.0,8.0,30069.0,6.61,458265726.0
-5.780203819274902,3.432033777236938,-0.5881269574165344,7.0,10.0,30070.0,6.748,458265730.0
-34.54187774658203,20.51762008666992,7.809430599212646,5.0,11.0,30071.0,40.928,458265733.0
-5.832620620727539,3.465911149978638,-0.3555704951286316,5.0,12.0,30072.0,6.794,458265735.0
-34.75345611572266,20.65971183776855,9.334118843078613,4.0,13.0,30073.0,41.494,458265737.0
-5.74743127822876,3.418004274368286,-0.1167216971516609,35.0,14.0,30074.0,6.688,458265740.0
-8.213235855102539,4.886361598968506,2.560755729675293,9.0,15.0,30075.0,9.894,458265742.0
-5.905181884765625,3.524386882781982,0.1200376525521278,7.0,1.0,30083.0,6.878,458265765.0
-0.6056957244873047,0.3616404831409454,-0.1628645658493042,2.0,2.0,30084.0,0.724,458265767.0
