"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.03228706866502762,5.967402458190918,-1.598984003067017,35.0,0.0,31.0,6.178,452901495.0
0.06621713191270828,11.8560094833374,0.2069506347179413,29.0,1.0,32.0,11.858,452901497.0
0.03479401394724846,6.040994167327881,-1.394696593284607,39.0,2.0,33.0,6.2,452901500.0
0.03606876358389854,6.078128337860107,-1.18148934841156,38.0,4.0,34.0,6.192,452901504.0
0.07179518789052963,11.75288581848145,1.028263449668884,17.0,5.0,35.0,11.798,452901507.0
0.03868688270449638,6.157127380371094,-0.9752124547958374,40.0,6.0,36.0,6.234,452901509.0
0.07658117264509201,11.85869407653809,1.456094861030579,6.0,7.0,37.0,11.948,452901511.0
0.04126078262925148,6.221142292022705,-0.7638770341873169,39.0,8.0,38.0,6.268,452901513.0
0.05835229158401489,8.798133850097656,1.393518209457397,22.0,9.0,38.0,8.908,452901516.0
0.08954764157533646,13.155442237854,-1.150978684425354,12.0,10.0,39.0,13.206,452901518.0
0.06249931454658508,8.952221870422363,1.740177989006042,2.0,11.0,40.0,9.120000000000001,452901520.0
0.08939623832702637,12.49253559112549,-0.6547228097915649,34.0,12.0,41.0,12.51,452901523.0
0.06606758385896683,9.012681007385254,2.08079719543457,3.0,13.0,42.0,9.25,452901525.0
0.09094487130641937,12.11781311035156,-0.2115231603384018,44.0,14.0,43.0,12.12,452901527.0
0.06885217875242233,9.174104690551758,2.458263397216797,9.0,15.0,43.0,9.498,452901530.0
0.05339212343096733,5.998161792755127,-1.607266306877136,35.0,0.0,51.0,6.21,452901550.0
0.1080556362867355,11.90569591522217,0.2078232616186142,51.0,1.0,52.0,11.908,452901553.0
0.05600699037313461,6.054476737976074,-1.397845864295959,41.0,2.0,53.0,6.214,452901555.0
0.1116606742143631,11.8472146987915,0.6209138035774231,47.0,3.0,54.0,11.864,452901557.0
0.05754421278834343,6.105449676513672,-1.186831951141357,38.0,4.0,54.0,6.22,452901560.0
0.1130686029791832,11.77846336364746,1.030529499053955,31.0,5.0,55.0,11.824,452901562.0
0.06035279482603073,6.174732685089111,-0.9780282974243164,38.0,6.0,56.0,6.252,452901564.0
0.06325769424438477,6.24875020980835,-0.767289400100708,39.0,8.0,58.0,6.296,452901569.0
0.09100548923015594,8.837367057800293,1.399775624275208,20.0,9.0,59.0,8.948,452901571.0
0.1355502158403397,13.16301918029785,-1.151675939559937,14.0,10.0,59.0,13.214,452901573.0
0.09465260058641434,9.03832721710205,1.756969213485718,9.0,11.0,60.0,9.208,452901576.0
0.1333004683256149,12.52010726928711,-0.6561881899833679,33.0,12.0,61.0,12.538,452901578.0
0.1006903573870659,9.304689407348633,2.148282527923584,6.0,13.0,62.0,9.55,452901580.0
0.1335292160511017,12.14341640472412,-0.2119769304990768,38.0,14.0,63.0,12.146,452901583.0
0.1026059612631798,9.185381889343262,2.461369037628174,17.0,15.0,64.0,9.51,452901585.0
0.07452079653739929,6.013392448425293,-1.611407399177551,35.0,0.0,71.0,6.226,452901606.0
0.1499905437231064,11.93523979187012,0.2083468288183212,36.0,1.0,72.0,11.938,452901608.0
0.07733933627605438,6.069832801818848,-1.401445031166077,42.0,2.0,73.0,6.23,452901610.0
0.151124969124794,11.86075878143311,0.6216464638710022,36.0,3.0,73.0,11.878,452901613.0
0.07918548583984375,6.13073205947876,-1.191792964935303,41.0,4.0,74.0,6.246,452901615.0
0.1550952047109604,11.84772491455078,1.036630392074585,36.0,5.0,75.0,11.894,452901617.0
0.08224688470363617,6.200161933898926,-0.9820955991744995,39.0,6.0,76.0,6.278,452901619.0
0.1603016257286072,11.92734241485596,1.464625716209412,34.0,7.0,77.0,12.018,452901622.0
0.08531273156404495,6.266355514526367,-0.7694830298423767,42.0,8.0,78.0,6.314,452901624.0
0.1223433464765549,8.872549057006836,1.405407190322876,19.0,9.0,79.0,8.984,452901626.0
0.1819364279508591,13.19434070587158,-1.154464960098267,13.0,10.0,79.0,13.246,452901629.0
0.1253793388605118,8.979049682617188,1.745520710945129,14.0,11.0,80.0,9.148,452901631.0
0.1774547398090363,12.55151844024658,-0.6578629612922668,32.0,12.0,81.0,12.57,452901633.0
