"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.008294421248137951,5.940438270568848,-1.591737151145935,33.0,0.0,8.0,6.15,453800940.0
0.01331203617155552,8.474699020385742,0.1479265987873077,5.0,1.0,9.0,8.476,453800943.0
0.01047907117754221,6.004059314727783,-1.386148452758789,44.0,2.0,10.0,6.162,453800945.0
0.01652268692851067,8.606173515319824,0.4510312676429749,3.0,3.0,11.0,8.618,453800947.0
0.01165052130818367,6.068408012390137,-1.179581165313721,40.0,4.0,11.0,6.182,453800950.0
0.01819361560046673,8.686799049377441,0.759998083114624,2.0,5.0,12.0,8.72,453800952.0
0.01388070359826088,6.117725849151611,-0.9689550995826721,40.0,6.0,13.0,6.194,453800954.0
0.0214682724326849,8.785992622375488,1.078787446022034,3.0,7.0,14.0,8.852,453800956.0
0.01621969230473042,6.195451736450195,-0.7607084512710571,34.0,8.0,15.0,6.242,453800959.0
0.02295119687914848,8.766691207885742,1.388512253761292,23.0,9.0,15.0,8.876,453800961.0
0.03663758188486099,13.11983299255371,-1.147841095924377,13.0,10.0,16.0,13.17,453800963.0
0.02638763189315796,8.893503189086914,1.728729486465454,2.0,11.0,17.0,9.06,453800966.0
0.03910935670137405,12.44885444641113,-0.6524200439453125,31.0,12.0,18.0,12.466,453800968.0
0.02971344999969006,8.960257530212402,2.068650007247925,3.0,13.0,19.0,9.196,453800970.0
0.04217460751533508,12.08208560943604,-0.2108948826789856,44.0,14.0,20.0,12.084,453800973.0
0.1225144639611244,35.0976676940918,9.404448509216309,1.0,15.0,20.0,36.336,453800975.0
0.02918142266571522,5.971282005310059,-1.600019335746765,36.0,0.0,28.0,6.182,453800996.0
0.06011054664850235,11.87603855133057,0.207299679517746,15.0,1.0,29.0,11.878,453800998.0
0.03151871263980865,6.019575595855713,-1.389747619628906,42.0,2.0,30.0,6.178,453801000.0
0.06381037086248398,11.79364204406738,0.618087649345398,21.0,3.0,31.0,11.81,453801003.0
0.03296061232686043,6.091888904571533,-1.184160590171814,41.0,4.0,31.0,6.206,453801005.0
0.06571927666664124,11.76686859130859,1.029483675956726,7.0,5.0,32.0,11.812,453801007.0
0.03540612757205963,6.147270202636719,-0.9736481308937073,42.0,6.0,33.0,6.224,453801009.0
0.05229011550545692,8.81166934967041,1.081956028938293,3.0,7.0,34.0,8.878,453801012.0
0.03795489296317101,6.213222980499268,-0.7629020810127258,37.0,8.0,35.0,6.26,453801014.0
0.05378179252147675,8.804089546203613,1.39445686340332,22.0,9.0,35.0,8.914,453801016.0
0.08258434385061264,13.14353370666504,-1.149932861328125,13.0,10.0,36.0,13.194,453801019.0
0.05769782885909081,8.934584617614746,1.736743450164795,3.0,11.0,37.0,9.102,453801021.0
0.08272268623113632,12.47260856628418,-0.6536760926246643,33.0,12.0,38.0,12.49,453801023.0
0.0612291656434536,8.995176315307617,2.076748132705688,4.0,13.0,39.0,9.232,453801026.0
0.0846279114484787,12.12185764312744,-0.211592972278595,44.0,14.0,40.0,12.124,453801028.0
0.06388677656650543,9.150958061218262,2.452051639556885,7.0,15.0,40.0,9.474,453801030.0
0.05021911859512329,5.994325160980225,-1.606230974197388,35.0,0.0,48.0,6.206,453801051.0
0.1018047109246254,11.90375137329102,0.207788348197937,51.0,1.0,49.0,11.906,453801053.0
0.05275183543562889,6.044761657714844,-1.395596385002136,39.0,2.0,50.0,6.204,453801056.0
0.05432992428541183,6.103516101837158,-1.186450362205505,41.0,4.0,51.0,6.218,453801060.0
0.1068471521139145,11.77254390716553,1.030006527900696,22.0,5.0,52.0,11.818,453801062.0
0.05710143223404884,6.172788143157959,-0.9777154326438904,40.0,6.0,53.0,6.25,453801065.0
0.05977624282240868,6.226947784423828,-0.7646082639694214,35.0,8.0,55.0,6.274,453801069.0
0.08643616735935211,8.843338966369629,1.400714159011841,22.0,9.0,56.0,8.954,453801072.0
