"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.01457187253981829,5.963608264923096,-1.597948789596558,40.0,0.0,14.0,6.174,426312290.0
0.02229141443967819,8.514674186706543,0.1486246883869171,5.0,1.0,15.0,8.516,426312292.0
0.01679915189743042,6.015737533569336,-1.388847827911377,44.0,2.0,16.0,6.174,426312294.0
0.02554096654057503,8.608148574829102,0.4511359333992004,3.0,3.0,17.0,8.620000000000001,426312296.0
0.01801116019487381,6.070355892181396,-1.179962873458862,40.0,4.0,17.0,6.184,426312299.0
0.02734673209488392,8.704706192016602,0.7615668773651123,2.0,5.0,18.0,8.738,426312301.0
0.02035266719758511,6.13746166229248,-0.9720837473869324,40.0,6.0,19.0,6.214,426312303.0
0.03074515052139759,8.807801246643066,1.08146858215332,3.0,7.0,20.0,8.874,426312306.0
0.02266388945281506,6.183520793914795,-0.7592459917068481,34.0,8.0,21.0,6.23,426312308.0
0.03218232095241547,8.780489921569824,1.390702366828918,22.0,9.0,21.0,8.89,426312310.0
0.05045311525464058,13.13971138000488,-1.149584293365479,12.0,10.0,22.0,13.19,426312313.0
0.03575603663921356,8.90721321105957,1.731400847434998,4.0,11.0,23.0,9.074,426312315.0
0.05219594016671181,12.46078968048096,-0.653048038482666,34.0,12.0,24.0,12.478,426312317.0
0.03917311877012253,8.977760314941406,2.072699069976807,4.0,13.0,25.0,9.214,426312320.0
0.05486321076750755,12.09003353118896,-0.2110344916582108,48.0,14.0,26.0,12.092,426312322.0
0.04132497310638428,9.10665512084961,2.440145969390869,0.0,15.0,26.0,9.428,426312324.0
0.03543451800942421,5.971248149871826,-1.600019335746765,40.0,0.0,34.0,6.182,426312345.0
0.03789584338665009,6.031231880187988,-1.392446994781494,41.0,2.0,36.0,6.19,426312349.0
0.03928929194808006,6.083998203277588,-1.182634115219116,40.0,4.0,37.0,6.198,426312354.0
0.07797539979219437,11.75683116912842,1.028612017631531,17.0,5.0,38.0,11.802,426312356.0
0.04193763434886932,6.161056995391846,-0.9758381843566895,39.0,6.0,39.0,6.238,426312359.0
0.04451816156506538,6.22111988067627,-0.7638770341873169,37.0,8.0,41.0,6.268,426312363.0
0.06453797221183777,8.804017066955566,1.39445686340332,22.0,9.0,42.0,8.914,426312366.0
0.09646500647068024,13.15937805175781,-1.15132737159729,13.0,10.0,42.0,13.21,426312368.0
0.06717194616794586,8.950224876403809,1.73979640007019,2.0,11.0,43.0,9.118,426312370.0
0.09598331153392792,12.49847888946533,-0.6550368070602417,35.0,12.0,44.0,12.516,426312372.0
0.07078660279512405,9.01264476776123,2.08079719543457,3.0,13.0,45.0,9.25,426312375.0
0.09724156558513641,12.11176490783691,-0.2114184498786926,46.0,14.0,46.0,12.114,426312377.0
0.07539951801300049,9.19144058227539,2.462922096252441,10.0,15.0,47.0,9.516,426312379.0
0.05645991861820221,5.990406036376953,-1.605195760726929,38.0,0.0,54.0,6.202,426312400.0
0.1143278181552887,11.90963745117188,0.2078930586576462,51.0,1.0,55.0,11.912,426312402.0
0.05921519175171852,6.058343887329102,-1.398745656013489,41.0,2.0,56.0,6.218,426312405.0
0.1179631873965263,11.85714054107666,0.621437132358551,53.0,3.0,57.0,11.874,426312407.0
0.06072147935628891,6.103456020355225,-1.186450362205505,40.0,4.0,57.0,6.218,426312409.0
0.1192357763648033,11.77840232849121,1.030529499053955,31.0,5.0,58.0,11.824,426312412.0
0.06366723030805588,6.182600975036621,-0.9792797565460205,41.0,6.0,59.0,6.26,426312414.0
0.1247663199901581,11.9138708114624,1.462919592857361,28.0,7.0,60.0,12.004,426312416.0
0.06648726016283035,6.244746685028076,-0.7668018937110901,37.0,8.0,61.0,6.292,426312419.0
0.09419546276330948,8.847210884094238,1.401339888572693,22.0,9.0,61.0,8.958,426312421.0
0.1424854546785355,13.16693019866943,-1.152024626731873,13.0,10.0,62.0,13.218,426312423.0
0.09895331412553787,8.999013900756836,1.749336838722229,3.0,11.0,63.0,9.168000000000001,426312425.0
0.1400790512561798,12.54000759124756,-0.6572349667549133,33.0,12.0,64.0,12.558,426312428.0
0.1074192821979523,9.468318939208984,2.186074256896973,10.0,13.0,65.0,9.718,426312430.0
0.1400256752967834,12.15534210205078,-0.2121863514184952,42.0,14.0,66.0,12.158,426312432.0
0.07766938954591751,6.013352394104004,-1.611407399177551,36.0,0.0,74.0,6.226,426312455.0
0.1563968360424042,11.94715595245361,0.2085562497377396,47.0,1.0,75.0,11.95,426312458.0
0.08064672350883484,6.079534530639648,-1.403694629669189,46.0,2.0,76.0,6.24,426312460.0
0.1595126539468765,11.86863899230957,0.6220651865005493,35.0,3.0,77.0,11.886,426312462.0
0.08231636881828308,6.124800682067871,-1.190648078918457,41.0,4.0,77.0,6.24,426312465.0
0.1612986475229263,11.84764194488525,1.036630392074585,36.0,5.0,78.0,11.894,426312467.0
0.08538433164358139,6.192217350006104,-0.9808440804481506,39.0,6.0,79.0,6.27,426312469.0
0.166629895567894,11.93321132659912,1.465356945991516,33.0,7.0,80.0,12.024,426312472.0
0.0886218398809433,6.268295288085938,-0.7697267532348633,39.0,8.0,81.0,6.316,426312474.0
0.1270737946033478,8.878408432006836,1.406345844268799,19.0,9.0,82.0,8.99,426312476.0
0.188959002494812,13.2022123336792,-1.155162215232849,12.0,10.0,82.0,13.254,426312478.0
0.1840852349996567,12.55541801452637,-0.658072292804718,33.0,12.0,84.0,12.574,426312483.0
0.1346874088048935,9.078181266784668,2.096093893051147,18.0,13.0,85.0,9.318,426312485.0
0.1829050928354263,12.18477058410645,-0.2127099335193634,36.0,14.0,86.0,12.188,426312488.0
0.1395948529243469,9.192622184753418,2.463439702987671,15.0,15.0,87.0,9.518,426312490.0
0.09804894030094147,6.040104389190674,-1.618654251098633,33.0,0.0,93.0,6.254,426312511.0
0.1966702938079834,11.9865608215332,0.2092543542385101,57.0,1.0,94.0,11.99,426312513.0
0.1010975316166878,6.0967698097229,-1.407743692398071,41.0,2.0,95.0,6.258,426312515.0
0.1995723247528076,11.90998077392578,0.6242632865905762,45.0,3.0,96.0,11.928,426312518.0
0.1031527742743492,6.155901432037354,-1.196753978729248,41.0,4.0,96.0,6.272,426312520.0
0.2013279944658279,11.89086818695068,1.040465235710144,35.0,5.0,97.0,11.938,426312522.0
0.1064585596323013,6.223501682281494,-0.9858499765396118,37.0,6.0,98.0,6.302,426312525.0
0.2071269899606705,11.98618316650391,1.471937894821167,32.0,7.0,99.0,12.078,426312527.0
0.1097542122006416,6.287814617156982,-0.7721641659736633,38.0,8.0,100.0,6.336,426312529.0
0.1556894481182098,8.919442176818848,1.41291606426239,23.0,9.0,100.0,9.032,426312531.0
0.2331243902444839,13.22342586517334,-1.157079696655273,16.0,10.0,101.0,13.276,426312534.0
0.1608339697122574,9.033465385437012,1.756206035614014,17.0,11.0,102.0,9.204,426312536.0
0.2263657301664352,12.59068393707275,-0.6599563956260681,31.0,12.0,103.0,12.61,426312538.0
0.1654276698827744,9.11275577545166,2.10419225692749,16.0,13.0,104.0,9.354000000000001,426312541.0
0.2240797728300095,12.22608375549316,-0.21344293653965,38.0,14.0,105.0,12.23,426312543.0
0.1689338088035583,9.21724796295166,2.470169067382812,2.0,15.0,105.0,9.544,426312545.0
0.1195894181728363,6.062902927398682,-1.624866008758545,36.0,0.0,113.0,6.278,426312566.0
0.239305704832077,12.02578735351562,0.2099524438381195,54.0,1.0,114.0,12.03,426312568.0
0.1227697283029556,6.11586332321167,-1.412242770195007,45.0,2.0,115.0,6.278,426312571.0
0.2419129312038422,11.94715213775635,0.6262520551681519,42.0,3.0,116.0,11.966,426312573.0
0.1251171976327896,6.179058074951172,-1.201333403587341,43.0,4.0,116.0,6.296,426312575.0
0.2438506931066513,11.93989181518555,1.044823050498962,43.0,5.0,117.0,11.988,426312578.0
0.1286701411008835,6.246791362762451,-0.9896044135093689,36.0,6.0,118.0,6.326000000000001,426312580.0
0.2502433359622955,12.04691123962402,1.479493856430054,34.0,7.0,119.0,12.14,426312582.0
0.1321178376674652,6.307239532470703,-0.7746015191078186,39.0,8.0,120.0,6.356,426312584.0
0.1890889257192612,8.952385902404785,1.418234825134277,22.0,9.0,121.0,9.066,426312587.0
0.2800386548042297,13.25838661193848,-1.16021728515625,16.0,10.0,121.0,13.312,426312589.0
0.1929508745670319,9.060327529907227,1.761548638343811,18.0,11.0,122.0,9.232,426312591.0
0.2710428833961487,12.6237621307373,-0.6617358326911926,28.0,12.0,123.0,12.644,426312594.0
0.1977000087499619,9.133554458618164,2.109141111373901,18.0,13.0,124.0,9.376,426312596.0
0.2674533724784851,12.25721454620361,-0.214001402258873,42.0,14.0,125.0,12.262,426312598.0
0.8021113872528076,36.46840286254883,9.774042129516602,0.0,15.0,126.0,37.764,426312601.0
0.1420813202857971,6.07401180267334,-1.627971768379211,35.0,0.0,134.0,6.29,426312621.0
0.2844172716140747,12.06881046295166,0.2107203602790833,58.0,1.0,135.0,12.074,426312624.0
0.1458321809768677,6.142646789550781,-1.418541312217712,44.0,2.0,136.0,6.306,426312626.0
0.286845862865448,11.99410533905029,0.6287641525268555,48.0,3.0,137.0,12.014,426312628.0
0.1481392383575439,6.194259643554688,-1.204386353492737,42.0,4.0,137.0,6.312,426312631.0
0.2885226309299469,11.97676277160645,1.048134922981262,39.0,5.0,138.0,12.026,426312633.0
0.1522357612848282,6.273924827575684,-0.993984580039978,39.0,6.0,139.0,6.354,426312635.0
0.2957537770271301,12.10147953033447,1.486318469047546,34.0,7.0,140.0,12.196,426312637.0
0.1558691412210464,6.332511425018311,-0.7777701616287231,28.0,8.0,141.0,6.382000000000001,426312640.0
0.2215526252985001,9.0010404586792,1.426056623458862,23.0,9.0,141.0,9.116,426312642.0
0.3292730450630188,13.28316402435303,-1.162483334541321,18.0,10.0,142.0,13.338,426312644.0
0.2288520187139511,9.167505264282227,1.782537579536438,5.0,11.0,143.0,9.342,426312647.0
0.3180623352527618,12.65263366699219,-0.663305938243866,32.0,12.0,144.0,12.674,426312649.0
0.2332459390163422,9.21458911895752,2.128036975860596,4.0,13.0,145.0,9.46,426312651.0
0.3131407797336578,12.28613758087158,-0.2145249843597412,44.0,14.0,146.0,12.292,426312654.0
0.9665673971176147,37.92345428466797,10.1648588180542,1.0,15.0,146.0,39.274,426312656.0
0.1636980623006821,6.08892822265625,-1.632112860679626,38.0,0.0,154.0,6.306,426312677.0
0.327517181634903,12.10372543334961,0.2113486379384995,58.0,1.0,155.0,12.11,426312679.0
0.1681750267744064,6.175216674804688,-1.426189661026001,46.0,2.0,156.0,6.34,426312681.0
0.329751044511795,12.03096485137939,0.6307529211044312,46.0,3.0,157.0,12.052,426312684.0
0.1706209778785706,6.225105285644531,-1.210492253303528,41.0,4.0,157.0,6.344,426312686.0
